City,AccuName,Country,Population,Latitude,Longitude,Geoposition,APICode
LONDON,London,UK,"7,074,000",51.507351,-0.127758,"51.507351,-0.127758",51.507351%2C-0.127758
BERLIN,Berlin,Germany,"3,387,000",52.520008,13.404954,"52.520008,13.404954",52.520008%2C13.404954
MADRID,Madrid,Spain,"2,824,000",40.416775,-3.70379,"40.416775,-3.70379",40.416775%2C-3.70379
ROMA,ROMA,Italy,"2,649,000",41.902782,12.496365,"41.902782,12.496365",41.902782%2C12.496365
KIEV,KIEV,Ukraine,"2,590,000",50.4501,30.523399,"50.4501,30.523399",50.4501%2C30.523399
PARIS,PARIS,France,"2,152,000",48.856613,2.352222,"48.856613,2.352222",48.856613%2C2.352222
BUCURESTI (Bucharest),BUCURESTI (Bucharest),Romania,"2,016,000",46.195992,21.28756,"46.195992,21.28756",46.195992%2C21.28756
BUDAPEST,BUDAPEST,Hungary,"1,825,000",47.497913,19.040236,"47.497913,19.040236",47.497913%2C19.040236
Hamburg,Hamburg,Germany,"1,705,000",53.551086,9.993682,"53.551086,9.993682",53.551086%2C9.993682
MINSK,MINSK,Belarus,"1,677,000",53.904541,27.561523,"53.904541,27.561523",53.904541%2C27.561523
WARSZAWA (Warsaw),WARSZAWA (Warsaw),Poland,"1,615,000",52.229675,21.01223,"52.229675,21.01223",52.229675%2C21.01223
BEOGRAD (Belgrade),BEOGRAD (Belgrade),Serbia,"1,594,000",44.786568,20.448921,"44.786568,20.448921",44.786568%2C20.448921
WIEN (Vienna),WIEN (Vienna),Austria,"1,540,000",48.208176,16.373819,"48.208176,16.373819",48.208176%2C16.373819
Kharkov,Kharkov,Ukraine,"1,494,000",49.9935,36.230385,"49.9935,36.230385",49.9935%2C36.230385
Barcelona,Barcelona,Spain,"1,455,000",41.385063,2.173404,"41.385063,2.173404",41.385063%2C2.173404
Milano (Milan),Milano (Milan),Italy,"1,306,000",45.464203,9.189982,"45.464203,9.189982",45.464203%2C9.189982
München (Munich),München (Munich),Germany,"1,195,000",48.135124,11.581981,"48.135124,11.581981",48.135124%2C11.581981
PRAHA (Prague),PRAHA (Prague),Czech Republic,"1,193,000",50.075539,14.4378,"50.075539,14.4378",50.075539%2C14.4378
SOFIA,SOFIA,Bulgaria,"1,139,000",42.696491,23.32601,"42.696491,23.32601",42.696491%2C23.32601
Dnepropetrovsk,Dnepropetrovsk,Ukraine,"1,108,000",48.393429,41.948509,"48.393429,41.948509",48.393429%2C41.948509
Donetsk,Donetsk,Ukraine,"1,050,000",48.002667,37.833568,"48.002667,37.833568",48.002667%2C37.833568
Napoli (Naples),Napoli (Naples),Italy,"1,047,000",40.839983,14.252542,"40.839983,14.252542",40.839983%2C14.252542
Birmingham,Birmingham,UK,"1,021,000",52.482271,-1.90359,"52.482271,-1.90359",52.482271%2C-1.90359
Odessa,Odessa,Ukraine,"1,002,000",31.849151,-102.375195,"31.849151,-102.375195",31.849151%2C-102.375195
Köln (Cologne),Köln (Cologne),Germany,"963,000",50.941481,6.952871,"50.941481,6.952871",50.941481%2C6.952871
Torino (Turin),Torino (Turin),Italy,"921,000",45.07673,7.670098,"45.07673,7.670098",45.07673%2C7.670098
ZAGREB,ZAGREB,Croatia,"868,000",45.8,16,"45.8,16",45.8%2C16
Zaporozhye,Zaporozhye,Ukraine,"850,000",47.873224,35.301744,"47.873224,35.301744",47.873224%2C35.301744
Lódz,Lódz,Poland,"803,000",51.765808,19.465088,"51.765808,19.465088",51.765808%2C19.465088
Marseille,Marseille,France,"800,000",43.295021,5.374487,"43.295021,5.374487",43.295021%2C5.374487
RIGA,RIGA,Latvia,"793,000",56.947502,24.10954,"56.947502,24.10954",56.947502%2C24.10954
