City,State,Population,Latitude,Longitude,APICode
New York, New York,8398748,40.6635,73.9387,40.6635%2C73.9387
Los Angeles, California,3990456,34.0194,118.410,34.0194%2C118.410
Chicago, Illinois,2705994,41.8376,87.6818,41.8376%2C87.6818
Houston, Texas,2325502,29.7866,95.3909,29.7866%2C95.3909
Phoenix, Arizona,1660272,33.5722,112.090,33.5722%2C112.090
Philadelphia, Pennsylvania,1584138,40.0094,75.1333,40.0094%2C75.1333
San Antonio, Texas,1532233,29.4724,98.5251,29.4724%2C98.5251
San Diego, California,1425976,32.8153,117.135,32.8153%2C117.135
Dallas, Texas,1345047,32.7933,96.7665,32.7933%2C96.7665
San Jose, California,1030119,37.2967,121.818,37.2967%2C121.818
Austin, Texas,964254,30.3039,97.7544,30.3039%2C97.7544
Jacksonville, Florida,903889,30.3369,81.6616,30.3369%2C81.6616
Fort Worth, Texas,895008,32.7815,97.3467,32.7815%2C97.3467
Columbus, Ohio,892533,39.9852,82.9848,39.9852%2C82.9848
San Francisco, California,883305,37.7272,123.032,37.7272%2C123.032
Charlotte, North Carolina,872498,35.2078,80.8310,35.2078%2C80.8310
Indianapolis, Indiana,867125,39.7767,86.1459,39.7767%2C86.1459
Seattle, Washington,744955,47.6205,122.350,47.6205%2C122.350
Denver, Colorado,716492,39.7619,104.881,39.7619%2C104.881
Washington, District of Columbia,702455,38.9041,77.0172,38.9041%2C77.0172
Boston, Massachusetts,694583,42.3320,71.0202,42.3320%2C71.0202
El Paso, Texas,682669,31.8484,106.427,31.8484%2C106.427
Detroit, Michigan,672662,42.3830,83.1022,42.3830%2C83.1022
Nashville, Tennessee,669053,36.1718,86.7850,36.1718%2C86.7850
Portland, Oregon,653115,45.5370,122.650,45.5370%2C122.650
Memphis, Tennessee,650618,35.1028,89.9774,35.1028%2C89.9774
Oklahoma City, Oklahoma,649021,35.4671,97.5137,35.4671%2C97.5137
Las Vegas, Nevada,644644,36.2292,115.260,36.2292%2C115.260
Louisville, Kentucky,620118,38.1654,85.6474,38.1654%2C85.6474
Baltimore, Maryland,602495,39.3000,76.6105,39.3000%2C76.6105
Milwaukee, Wisconsin,592025,43.0633,87.9667,43.0633%2C87.9667
Albuquerque, New Mexico,560218,35.1056,106.647,35.1056%2C106.647
Tucson, Arizona,545975,32.1531,110.870,32.1531%2C110.870
Fresno, California,530093,36.7836,119.793,36.7836%2C119.793
Mesa, Arizona,508958,33.4019,111.717,33.4019%2C111.717
Sacramento, California,508529,38.5666,121.468,38.5666%2C121.468
Atlanta, Georgia,498044,33.7629,84.4227,33.7629%2C84.4227
Kansas City, Missouri,491918,39.1251,94.5510,39.1251%2C94.5510
Colorado Springs, Colorado,472688,38.8673,104.760,38.8673%2C104.760
Miami, Florida,470914,25.7752,80.2086,25.7752%2C80.2086
Raleigh, North Carolina,469298,35.8306,78.6418,35.8306%2C78.6418
Omaha, Nebraska,468262,41.2644,96.0451,41.2644%2C96.0451
Long Beach, California,467354,33.8092,118.155,33.8092%2C118.155
Virginia Beach, Virginia,450189,36.7800,76.0252,36.7800%2C76.0252
Oakland, California,429082,37.7698,122.225,37.7698%2C122.225
Minneapolis, Minnesota,425403,44.9633,93.2683,44.9633%2C93.2683
Tulsa, Oklahoma,400669,36.1279,95.9023,36.1279%2C95.9023
Arlington, Texas,398112,32.7007,97.1247,32.7007%2C97.1247
Tampa, Florida,392890,27.9701,82.4797,27.9701%2C82.4797
New Orleans, Louisiana,391006,30.0534,89.9345,30.0534%2C89.9345
Wichita, Kansas,389255,37.6907,97.3459,37.6907%2C97.3459
Cleveland, Ohio,383793,41.4785,81.6794,41.4785%2C81.6794
Bakersfield, California,383579,35.3212,119.018,35.3212%2C119.018
Aurora, Colorado,374114,39.6880,104.689,39.6880%2C104.689
Anaheim, California,352005,33.8555,117.760,33.8555%2C117.760
Honolulu, Hawaii,347397,21.3243,157.847,21.3243%2C157.847
Santa Ana, California,332725,33.7363,117.883,33.7363%2C117.883
Riverside, California,330063,33.9381,117.393,33.9381%2C117.393
Corpus Christi, Texas,326554,27.7543,97.1734,27.7543%2C97.1734
Lexington, Kentucky,323780,38.0407,84.4583,38.0407%2C84.4583
Stockton, California,311178,37.9763,121.313,37.9763%2C121.313
Henderson, Nevada,310390,36.0097,115.035,36.0097%2C115.035
Saint Paul, Minnesota,307695,44.9489,93.1041,44.9489%2C93.1041
St. Louis, Missouri,302838,38.6357,90.2446,38.6357%2C90.2446
Cincinnati, Ohio,302605,39.1402,84.5058,39.1402%2C84.5058
Pittsburgh, Pennsylvania,301048,40.4398,79.9766,40.4398%2C79.9766
