subarea,code,geo_size,population
Austria,AUT,83879.00,8576234.00
Belgium,BEL,30528.00,11258434.00
Bulgaria,BGR,110370.00,7202198.00
Croatia,HRV,56594.00,4225316.00
Cyprus,CYP,9251.00,847008.00
Czech Republic,CZE,78868.00,10538275.00
Denmark,DNK,42924.00,5659715.00
Estonia,EST,45227.00,1313271.00
Finland,FIN,338440.00,5471753.00
France,FRA,633187.00,66415161.00
Germany,DEU,357376.00,81197537.00
Greece,GRC,131957.00,10858018.00
Hungary,HUN,93011.00,9855571.00
Italy,ITA,302073.00,60795612.00
Latvia,LVA,64573.00,1986096.00
Luxembourg,LUX,2586.00,562958.00
Malta,MLT,315.00,429334.00
Netherlands,NLD,41542.00,16900726.00
Poland,POL,612679.00,38005614.00
Portugal,PRT,92226.00,10374822.00
Romania,ROU,238391.00,19870647.00
Slovakia,SVK,49035.00,5421349.00
Slovenia,SVN,20273.00,2062874.00
Spain,ESP,505944.00,46449565.00
United Kingdom,GBR,248528.00,64875165.00
Lithuania,LIT,65286.00,2921262.00
Sweden,SWE,438574.00,9747355.00
Ireland,IRE,69797.00,4628949.00
