subarea,code,geo_size,population
Alabama,AL,135767,4672840
Alaska,AK,1723337,680300
Arizona,AZ,295234,6167681
Arkansas,AR,137732,2848650
California,CA,423972,36250311
Colorado,CO,269601,4803868
Connecticut,CT,14357,3527270
Delaware,DE,6446,871749
Florida,FL,170312,18367842
Georgia,GA,153910,9349988
Hawaii,HI,28313,1315675
Idaho,ID,216443,1505105
Illinois,IL,149995,12695866
Indiana,IN,94326,6379599
Iowa,IA,145746,2999212
Kansas,KS,213100,2783785
Kentucky,KY,104656,4256672
Louisiana,LA,135659,4375581
Maine,ME,91633,1327040
Maryland,MD,32131,5653408
Massachusetts,MA,27336,6431559
Michigan,MI,250487,10001284
Minnesota,MN,225163,5207203
Mississippi,MS,125438,2928350
Missouri,MO,180540,5887612
Montana,MT,380831,964706
Nebraska,NE,200330,1783440
Nevada,NV,286380,2601072
New Hampshire,NH,24214,1312540
New Jersey,NJ,22591,8677885
New Mexico,NM,314917,1990070
New York,NY,141297,19132335
North Carolina,NC,139391,9118037
North Dakota,ND,183108,652822
Ohio,OH,116098,11500468
Oklahoma,OK,181037,3634349
Oregon,OR,254799,3722417
Pennsylvania,PA,119280,12563937
Rhode Island,RI,4001,1057315
South Carolina,SC,82933,4444110
South Dakota,SD,199729,791623
Tennessee,TN,109153,6175727
Texas,TX,695662,23831983
Utah,UT,219882,2597746
Vermont,VT,24906,623481
Virginia,VA,110787,7751000
Washington,WA,184661,6461587
West Virginia,WV,62756,1834052
Wisconsin,WI,169635,5610775
Wyoming,WY,253335,534876
